spdb3517	服务调查满意度100%。
spdb4150	外币贷款利率及其计结息方式，由中、外资金融机构根据国际金融市场利率的变动情况以及资金成本、风险差异等因素自行确定
spdb4157	金融监管办事处的主要职责是，根据中国人民银行分行的授权，对所在省、自治区的金融机构实施现场检查；查处中国人民银行分行交办的金融违法、违规案件。
spdb4158	负责汇总所在省、自治区各项经济金融统计数据；管理所在地省级发行分库业务；管理所在地国家金库省级分库业务；管理所在地电子结算分中心业务和原省级分行营业部的业务。中心支行与当地金融监管办事处都是分行的派出机构，相互之间不是领导与被领导的关系。
spdb4159	（一）认真贯彻执行国家有关法律、法规和方针、政策，依据中国人民银行的授权，对辖区内金融机构（证券、保险机构除外，下同）的业务活动进行全面的监督管理；依法查处辖区内金融违法违规案件。  　　（二）管理辖区内金融监管办事处和中心支行的人事、财务工作。  　　（三）管理辖区内中央银行资金、存款准备金、再贴现、利率和现金管理等有关货币信贷政策业务。  　　（四）对辖区内经济金融形势和区域金融风险进行分析。  　　（五）对辖区内外汇、外债和国际收支进行管理。  　　（六）协调辖区内中心支行的国库经理、支付清算、现金发行和金融统计等业务。
spdb4160	中国光大国际信托投资公司严重资不抵债，不能支付到期债务，为维护金融秩序稳定，保护债权人的合法权益
spdb4177	正面图案为北京天坛祈年殿，并刊国名、年号，其中镶金银币加刊“熊猫金币发行二十周年”中文字样
spdb4178	发行量400000枚。
spdb4180	非金融机构投资者可以与银行间债券市场上所有具备做市商资格或债券结算代理业务资格的金融机构进行债券交易
spdb4207	为规范电子支付业务，防范支付风险，保证资金安全，维护银行及其客户在电子支付活动中的合法权益，促进电子支付业务健康发展
spdb4208	客户可用以发起电子支付指令的计算机、电话、销售点终端、自动柜员机、移动通讯工具或其他电子设备。
spdb4209	银行名称、营业地址及联系方式；  （二）客户办理电子支付业务的条件；  （三）所提供的电子支付业务品种、操作程序和收费标准等；  （四）电子支付交易品种可能存在的全部风险，包括该品种的操作风险、未采取的安全措施、无法采取安全措施的安全漏洞等；  （五）客户使用电子支付交易品种可能产生的风险；  （六）提醒客户妥善保管、使用或授权他人使用电子支付交易存取工具（如卡、密码、密钥、电子签名制作数据等）的警示性信息；  （七）争议及差错处理方式。
spdb4210	据实、准确和及时的原则。
spdb4217	收取承销融资券的承销佣金；     （二）主承销商在与发行人签署协议的情况下，可以向发行人调阅与本次融资券发行有关的未公开的法律文件和财务会计资料；     （三）对于发行人的不规范行为，主承销商有权要求其整改，并将整改情况在尽职调查报告或核查意见中予以说明，因发行人不配合，使尽职调查范围受限制，导致主承销商无法做出判断的，主承销商不得为发行人的发行申请出具推荐函；     （四）按规定向投资人分销融资券。
spdb4220	为规范短期融资券的承销和信息披露行为
spdb4227	背面图案均为画家刘继卣的蕉荫双狗图，并刊面额：  1/10盎司圆形金质彩色纪念币、1盎司圆形银质彩色纪念币。  以下2枚金银纪念币背面图案均为画家刘奎龄的双犬图，并刊面额：  1公斤梅花形金质纪念币、1公斤圆形银质纪念币。  以下4枚金银纪念币背面图案均为犬戏图，并刊面额：  1/2盎司扇形金质纪念币、1盎司扇形银质纪念币、5盎司长方形金质纪念币、5盎司长方形银质纪念币。　
spdb4228	外接圆直径27毫米，面额200元，成色99.9%，发行量为8000枚。  （八）1盎司梅花形银质纪念币为精制币，含纯银1盎司，外接圆直径40毫米，面额10元，成色99.9%，发行量60000枚。  （九）5盎司长方形金质纪念币为精制币，含纯金5盎司，规格64毫米×40毫米，面额2000元，成色99.9%，发行量118枚。  （十）5盎司长方形银质纪念币为精制币，含纯银5盎司，规格80毫米×50毫米，面额50元，发行量1888枚。  （十一）1公斤梅花形金质纪念币为精制币，含纯金1公斤，外接圆直径100毫米，面额10000元，成色99.9%，发行量15枚。  （十二）1公斤圆形银质纪念币为精制币，含纯银1公斤，直径100毫米，面额300元，成色99.9%，发行量3800枚。
spdb4238	《中华人民共和国中国人民银行法》、《中华人民共和国行政许可法》和《中国人民银行行政许可实施办法》
spdb4239	（一）有健全的组织机构和管理制度；  （二）近两年未因违法、违规经营受到中国人民银行、国务院银行业监督管理机构及其他主管部门处罚；  （三）近两年未出现资不抵债情况；  （四）中国人民银行规定的其他条件。  除具备前款所规定的条件外，外资商业银行申请加入同业拆借市场应经国务院银行业监督管理机构批准获得经营人民币业务资格；城市信用合作社申请加入同业拆借市场应完成改制；农村信用合作社申请加入同业拆借市场应以县联社为单位；政策性银行申请加入同业拆借市场应已按市场化方式在银行间债券市场发债。  国有商业银行和股份制商业银行授权其一级分支机构加入同业拆借市场时，其总行应当是同业拆借市场成员。  第四条国有商业银行和股份制商业银行申请加入同业拆借市场，应报中国人民银行总行批准。
spdb4240	（一）进入同业拆借市场的申请；  （二）《金融许可证》（副本复印件）；  （三）《营业执照》（副本复印件）；  （四）章程；  （五）资金管理内控制度；  （六）近两年资产负债表和损益表；  （七）负责资金运作的部门和人员情况；  （八）中国人民银行要求提供的其他材料。
spdb4249	中国货币网、中国债券信息网以及中国人民银行规定的其他方式
spdb4250	保证信息披露真实、准确和完整，不得有虚假记载、误导性陈述和重大遗漏。
spdb4259	为促进我国债券，防范市场风险，维护市场参与者合法权益
spdb4260	交易双方约定在未来某一日期，以约定价格和数量买卖标的债券的行为。
